STANDARD_NAME	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SYSTEMATIC_NAME	M5930
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
