motif_id	motif_name	motif_form	source_species
MA0784.3	POU1F1	single_factor	Homo sapiens
MA0785.2	POU2F1	single_factor	Homo sapiens
MA1962.1	POU2F1::SOX2	heteromeric	Homo sapiens
MA0507.3	POU2F2	single_factor	Homo sapiens
MA0627.3	POU2F3	single_factor	Homo sapiens
MA0786.2	POU3F1	single_factor	Homo sapiens
MA0787.1	POU3F2	single_factor	Homo sapiens
MA0788.1	POU3F3	single_factor	Homo sapiens
MA0789.1	POU3F4	single_factor	Homo sapiens
MA0790.2	POU4F1	single_factor	Homo sapiens
MA0683.2	POU4F2	single_factor	Homo sapiens
MA0791.2	POU4F3	single_factor	Homo sapiens
MA1115.2	POU5F1	single_factor	Homo sapiens
MA0792.1	POU5F1B	single_factor	Homo sapiens
MA0628.2	POU6F1	single_factor	Homo sapiens
MA1549.2	POU6F1	single_factor	Homo sapiens
MA0793.2	POU6F2	single_factor	Homo sapiens
MA0142.1	Pou5f1::Sox2	heteromeric	Mus musculus
