threshold	original_v1_motifs	provisional_motifs	negative_optimum_higher_auc	auc_gain_gt_0_001
-20	0	1	1	0
-19	0	0	0	0
-18	0	0	0	0
-17	0	3	3	3
-16	0	5	5	5
-15	0	5	5	5
-14	0	4	4	4
-13	0	4	4	4
-12	0	4	4	4
-11	0	1	1	1
-10	0	8	8	8
-9	0	6	6	6
-8	0	12	12	12
-7	0	12	12	11
-6	0	17	17	14
-5	0	19	19	18
-4	0	33	33	32
-3	0	41	41	36
-2	0	51	51	37
-1	0	69	69	20
0	438	143	0	0
1	187	187	0	0
2	263	263	0	0
3	287	287	0	0
4	314	314	0	0
5	359	359	0	0
6	454	454	0	0
7	167	167	0	0
8	72	72	0	0
9	36	36	0	0
10	19	19	0	0
11	10	10	0	0
12	2	2	0	0
13	6	6	0	0
14	1	1	0	0
NA	17	17	0	0
