motif_id	recommended_threshold
MA0001.3	5
MA0002.3	13
MA0003.5	6
MA0004.1	7
MA0005.3	5
MA0006.2	6
MA0007.4	0
MA0008.4	2
MA0009.2	4
MA0010.2	7
MA0011.2	6
MA0012.2	6
MA0013.1	7
MA0014.4	5
MA0015.2	5
MA0016.2	4
MA0017.3	0
MA0018.5	4
MA0019.2	5
MA0020.2	5
MA0021.1	5
MA0022.1	4
MA0023.1	5
MA0024.3	1
MA0025.3	5
MA0026.1	7
MA0027.3	5
MA0028.3	2
MA0029.2	5
MA0030.2	6
MA0031.2	5
MA0032.2	6
MA0033.2	6
MA0034.2	9
MA0035.5	6
MA0036.4	5
MA0037.5	5
MA0038.3	1
MA0039.5	6
MA0040.2	7
MA0041.3	7
MA0042.2	4
MA0043.4	3
MA0046.3	1
MA0047.4	5
MA0048.3	3
MA0049.1	7
MA0050.4	6
MA0051.2	6
MA0052.5	5
MA0053.1	5
MA0054.1	5
MA0056.3	4
MA0058.4	3
MA0059.2	6
MA0060.4	5
MA0062.4	9
MA0063.3	4
MA0064.1	6
MA0065.3	7
MA0066.2	5
MA0067.3	0
MA0068.2	4
MA0069.1	6
MA0070.2	6
MA0071.1	6
MA0072.2	4
MA0073.2	6
MA0074.1	4
MA0075.4	0
MA0076.3	9
MA0077.2	6
MA0078.3	6
MA0079.5	3
MA0080.7	2
MA0081.3	2
MA0082.2	7
MA0083.3	0
MA0084.2	6
MA0085.2	12
MA0086.3	3
MA0087.3	6
MA0088.3	0
MA0089.3	0
MA0090.4	3
MA0091.2	5
MA0092.2	7
MA0093.4	3
MA0094.3	7
MA0095.4	5
MA0096.1	7
MA0097.1	2
MA0098.4	9
MA0099.4	2
MA0100.4	5
MA0101.1	7
MA0102.5	4
MA0103.4	5
MA0104.5	4
MA0105.4	0
MA0106.3	0
MA0107.1	6
MA0108.3	7
MA0110.4	6
MA0111.1	7
MA0112.4	0
MA0113.4	0
MA0114.5	2
MA0115.1	1
MA0116.2	7
MA0117.3	3
MA0118.2	7
MA0119.1	6
MA0121.2	8
MA0122.4	5
MA0123.1	6
MA0124.3	3
MA0125.2	6
MA0126.2	5
MA0128.1	7
MA0129.1	4
MA0130.1	6
MA0131.3	3
MA0132.3	4
MA0135.2	5
MA0136.4	4
MA0137.4	2
MA0138.3	0
MA0139.2	3
MA0140.3	1
MA0141.4	0
MA0142.1	5
MA0143.5	6
MA0144.3	1
MA0145.2	6
MA0146.3	4
MA0147.4	3
MA0148.5	6
MA0149.1	0
MA0150.3	10
MA0151.1	6
MA0152.3	7
MA0153.2	0
MA0154.5	4
MA0155.1	7
MA0156.4	0
MA0157.4	5
MA0158.2	0
MA0159.1	6
MA0160.3	5
MA0161.3	7
MA0162.5	5
MA0163.1	6
MA0164.2	3
MA0165.1	7
MA0166.1	6
MA0167.1	6
MA0168.1	6
MA0169.1	6
MA0170.1	6
MA0171.1	6
MA0172.1	7
MA0173.1	7
MA0174.1	6
MA0175.1	6
MA0176.1	6
MA0177.1	6
MA0178.1	7
MA0179.1	6
MA0180.1	6
MA0181.1	6
MA0182.1	6
MA0183.1	6
MA0184.2	5
MA0185.2	5
MA0186.1	6
MA0187.1	6
MA0188.1	5
MA0189.2	6
MA0190.1	5
MA0191.1	6
MA0192.1	6
MA0193.1	5
MA0194.1	6
MA0195.2	6
MA0196.1	6
MA0197.3	6
MA0198.1	6
MA0199.1	7
MA0200.2	5
MA0201.1	7
MA0202.1	6
MA0203.1	6
MA0204.1	5
MA0205.3	8
MA0206.1	6
MA0207.1	6
MA0208.1	6
MA0209.1	6
MA0210.1	7
MA0211.1	6
MA0212.1	4
MA0213.1	6
MA0214.1	6
MA0215.1	6
MA0216.2	1
MA0217.1	7
MA0218.1	6
MA0219.1	6
MA0220.1	6
MA0221.1	6
MA0222.2	6
MA0224.1	6
MA0225.1	6
MA0226.1	6
MA0227.1	6
MA0228.1	6
MA0229.1	6
MA0230.1	7
MA0231.1	6
MA0232.1	6
MA0233.1	7
MA0234.1	5
MA0235.1	6
MA0236.1	5
MA0237.2	4
MA0238.1	6
MA0239.2	5
MA0240.1	6
MA0241.1	5
MA0242.1	7
MA0243.2	6
MA0244.1	6
MA0245.1	6
MA0246.1	7
MA0247.3	0
MA0248.1	6
MA0249.3	5
MA0250.1	6
MA0251.1	6
MA0252.2	5
MA0253.1	6
MA0254.1	6
MA0255.2	9
MA0256.1	6
MA0257.2	5
MA0258.2	5
MA0259.2	4
MA0260.1	6
MA0261.1	6
MA0262.1	1
MA0263.1	4
MA0264.2	2
MA0265.3	0
MA0266.2	4
MA0267.2	6
MA0268.2	8
MA0269.2	8
MA0270.2	5
MA0271.1	9
MA0272.2	1
MA0273.2	4
MA0274.1	8
MA0275.1	4
MA0276.1	6
MA0277.1	7
MA0278.2	4
MA0279.3	4
MA0280.2	3
MA0281.3	6
MA0282.2	6
MA0283.1	5
MA0284.3	3
MA0285.2	7
MA0286.2	1
MA0287.1	7
MA0288.1	6
MA0289.1	5
MA0290.1	NA
MA0291.1	6
MA0292.2	4
MA0293.2	5
MA0294.2	8
MA0295.2	5
MA0296.2	3
MA0297.1	1
MA0299.1	1
MA0300.2	5
MA0301.2	5
MA0302.2	6
MA0303.3	3
MA0304.1	13
MA0305.2	8
MA0306.2	8
MA0307.1	7
MA0308.2	2
MA0309.2	5
MA0310.2	6
MA0311.1	3
MA0312.3	1
MA0313.1	5
MA0314.3	4
MA0316.2	1
MA0317.2	7
MA0318.1	6
MA0319.2	6
MA0320.1	0
MA0321.1	3
MA0322.1	3
MA0323.1	0
MA0324.1	3
MA0325.2	4
MA0326.1	0
MA0327.1	0
MA0328.2	5
MA0329.2	4
MA0330.1	3
MA0331.1	2
MA0332.1	5
MA0333.2	3
MA0334.2	8
MA0336.2	5
MA0337.2	7
MA0338.2	7
MA0339.2	8
MA0340.1	3
MA0341.1	4
MA0342.1	4
MA0343.2	4
MA0344.1	5
MA0347.3	6
MA0348.2	7
MA0349.2	3
MA0350.2	2
MA0351.2	3
MA0352.3	3
MA0353.1	0
MA0354.2	7
MA0355.2	9
MA0356.1	7
MA0357.1	4
MA0358.2	4
MA0359.3	3
MA0360.2	6
MA0361.2	3
MA0362.2	5
MA0363.3	1
MA0364.1	6
MA0365.2	4
MA0366.1	7
MA0367.2	6
MA0368.1	4
MA0369.2	3
MA0370.1	6
MA0371.1	7
MA0372.2	6
MA0373.1	5
MA0374.2	3
MA0375.2	2
MA0376.2	5
MA0377.2	7
MA0378.2	4
MA0379.1	5
MA0380.2	4
MA0381.2	3
MA0382.3	2
MA0384.2	0
MA0385.2	9
MA0386.2	3
MA0387.1	5
MA0388.1	8
MA0389.2	6
MA0390.2	4
MA0391.1	6
MA0392.1	5
MA0393.1	4
MA0394.1	3
MA0395.2	3
MA0396.2	3
MA0397.2	3
MA0398.2	7
MA0399.1	5
MA0400.2	0
MA0401.1	5
MA0402.2	6
MA0403.3	9
MA0404.1	4
MA0405.1	5
MA0406.2	6
MA0407.1	0
MA0408.2	9
MA0409.1	6
MA0410.2	5
MA0411.2	3
MA0412.3	2
MA0413.2	2
MA0414.2	3
MA0415.2	1
MA0416.2	2
MA0417.1	7
MA0418.2	5
MA0419.1	2
MA0420.2	5
MA0421.1	0
MA0422.2	7
MA0423.2	6
MA0424.2	4
MA0425.2	6
MA0426.1	0
MA0428.2	7
MA0429.1	4
MA0430.2	6
MA0431.2	6
MA0432.1	8
MA0433.2	5
MA0434.2	4
MA0435.2	0
MA0436.2	5
MA0437.1	4
MA0438.2	5
MA0439.2	3
MA0440.1	3
MA0441.2	7
MA0442.3	6
MA0443.2	6
MA0444.1	6
MA0445.1	7
MA0446.1	7
MA0447.1	2
MA0448.1	6
MA0449.1	5
